Hello (formal)	Здрaвствуйтуе [zdrA-stvooy-tye]
Hello (informal)	Здрaвствуй [zdrA-stvooy]
Goodbye	До свидания [da svee-dA-nee-ya]
How are things with you? (formal)	Кaк у вас дела? [kak oo vas dye-lA]
Thank you, fine	Спасибо, хорошо [spa-sEE-ba, ha-ra-shO]
How are things with you? (informal)	Как у тебя дела? [kak oo teb-ya dye-lA]
How do they call you? (informal)	как тебя зовут? [kak teb-ya za-voot]
I am called	Меня зовут [men-YA za-vOOt]
How do they call you? (formal)	Как вас зовут? [kak vas za-vOOt]
Very glad (to meet you) (male speaker)	Очень рад [O-chyen rAd]
Very glad (to meet you) (female speaker)	Очень рада [O-chyen rA-da]
Pardon/Excuse me/Sorry?	Простите [prasteetye]
You (formal)	Вы [vi]
You  (informal)	ТЫ [ti]
English (male)	Англичанин [angleechaneen]
English (female)	Англичанка [angleechanka]
Yes, I am...	Да, я... [da, ya]
No, I am not...	Нет, я не... [nyet, ya nye]
Student (male / female)	Студент / Студентка [stood-YEnt / stood-YEnt-ka]
They are married (male plural or formal)	Они женаты [anee zhenaty]
Married (male informal)	Женат [zhenat]
Married (female)	Замужем [zamoozhem]
Zero	Ноль [nol]
One	Один [adeen]
Two	Два [dva]
Three	Три [tree]
Four	Четыре [chetyre]
This is Anna	Это Анна [eta anna]
This is my friend (male)	Это мои друг [eta moy droog]
This is my friend (female)	Это моя подруга [eta maya padrooga]
This is my husband	Это мои муж [eta moy moozh]
This is my wife	Это моя жена [eta maya zhena]
Do you have children?	У вас есть дети? [oo vas yest dyetee]
I have...	У меня есть... [oo men-YA yest]
Son	Сын [syn]
Daughter	Дочь [doch]
And	И [ee]
How is he/she called?	Как его/её зовут? [kak yevo/yeyo zavoot]
He / She is called...	Его / Её зовут [yevo / yeyo zavoot]
Is this...?	Это...? [eta]
Brother	Брат [brAt]
Sister	Сестра [sYE-stra]
Five	Пять [pyat]
Six	Шесть [shyest]
Seven	Семь [syem]
Eight	Восемь [vosem]
Nine	Девять [dyevat]
Ten	Десять [dyesat]
Bar	Бар [bar]
Cafe	Кафе [cafe]
Barman	Бармен [barmen]
Kiosk	Киоск [kiosk]
What would you like?	Что вам угодно? [shto vam oogodna]
Tea, please	Чаи пожалуйста [chay pazhalsta]
Coffee, please	Кофе пожалуйста [kofye pazhalsta]
Fine	Хорошо [kharasho]
Thank you	Спасибо [spaseeba]
Water	Вода [vada]
Wine	Вино [veeno]
Beer	Пиво [peeva]
Lemonade	Лимонад [leemonad]
