Здрaвствуйтуе [zdrA-stvooy-tye]	Hello (formal)
Здрaвствуй [zdrA-stvooy]	Hello (informal)
До свидания [da svee-dA-nee-ya]	Goodbye
Кaк у вас дела? [kak oo vas dye-lA]	How are things with you? (formal)
Спасибо, хорошо [spa-sEE-ba, ha-ra-shO]	Thank you, fine
Как у тебя дела? [kak oo teb-ya dye-lA]	How are things with you? (informal)
как тебя зовут? [kak teb-ya za-voot]	How do they call you? (informal)
Меня зовут [men-YA za-vOOt]	I am called
Как вас зовут? [kak vas za-vOOt]	How do they call you? (formal)
Очень рад [O-chyen rAd]	Very glad (to meet you) (male speaker)
Очень рада [O-chyen rA-da]	Very glad (to meet you) (female speaker)
Простите [prasteetye]	Pardon/Excuse me/Sorry?
Вы [vi]	You (formal)
ТЫ [ti]	You  (informal)
Англичанин [angleechaneen]	English (male)
Англичанка [angleechanka]	English (female)
Да, я... [da, ya]	Yes, I am...
Нет, я не... [nyet, ya nye]	No, I am not...
Студент / Студентка [stood-YEnt / stood-YEnt-ka]	Student (male / female)
Они женаты [anee zhenaty]	They are married (male plural or formal)
Женат [zhenat]	Married (male informal)
Замужем [zamoozhem]	Married (female)
Ноль [nol]	Zero
Один [adeen]	One
Два [dva]	Two
Три [tree]	Three
Четыре [chetyre]	Four
Это Анна [eta anna]	This is Anna
Это мои друг [eta moy droog]	This is my friend (male)
Это моя подруга [eta maya padrooga]	This is my friend (female)
Это мои муж [eta moy moozh]	This is my husband
Это моя жена [eta maya zhena]	This is my wife
У вас есть дети? [oo vas yest dyetee]	Do you have children?
У меня есть... [oo men-YA yest]	I have...
Сын [syn]	Son
Дочь [doch]	Daughter
И [ee]	And
Как его/её зовут? [kak yevo/yeyo zavoot]	How is he/she called?
Его / Её зовут [yevo / yeyo zavoot]	He / She is called...
Это...? [eta]	Is this...?
Брат [brAt]	Brother
Сестра [sYE-stra]	Sister
Пять [pyat]	Five
Шесть [shyest]	Six
Семь [syem]	Seven
Восемь [vosem]	Eight
Девять [dyevat]	Nine
Десять [dyesat]	Ten
Бар [bar]	Bar
Кафе [cafe]	Cafe
Бармен [barmen]	Barman
Киоск [kiosk]	Kiosk
Что вам угодно? [shto vam oogodna]	What would you like?
Чаи пожалуйста [chay pazhalsta]	Tea, please
Кофе пожалуйста [kofye pazhalsta]	Coffee, please
Хорошо [kharasho]	Fine
Спасибо [spaseeba]	Thank you
Вода [vada]	Water
Вино [veeno]	Wine
Пиво [peeva]	Beer
Лимонад [leemonad]	Lemonade
С сахаром [s sakharom]	With sugar
Без сахара [byez sakhara]	Without sugar
Сахар [sakhar]	Sugar
С молоком [s malakom]	With milk
Без молока [byez malaka]	Without milk
Что вы хотите? [shto vy khateetye]	What would you like? (formal)
Что ты хочешь? [shto ty khochyesh]	What would you like? (informal)
Да, пожалуйста [da pazhalsta]	Yes, please
Нет, спасибо [nyet spaseeba]	No, thank you
Я знаю [ya znA-yu]	I know
Журнал [zhoornal]	Magazine
Гостиница [gas-tEE-neetsa]	Hotel
Доброе утро [dó-braye oot-ra]	Good morning
Простите, пожалуйста [prasteetye, pazhalsta]	Excuse me, please
Скажите, пожалуйста [skasheetye, pazhalsta]	Tell me, please
Идите [eedEEtye]	Go
Налево [nalevo]	Left
Прямо [pryamo]	Forward
Направо [napravo]	Right
Это далеко? [eta dalyeko]	Is it far?
Да, далеко [da, dalyeko]	Yes, it's far
Нет, недалеко [nyet, nedalyeko]	No, it's not far
Десять минут пешком [desyat meenoot pyeshkom]	Ten minutes by foot
Пять минут автобусом [pyat meenoot avtoboosom]	Five minutes by bus
Один километр [adeen keelometr]	One kilometer
Где вы живёте? [gdye vy zheevyotye]	Where do you live? (formal)
Где ты живёшь? [gde ty zheevYOsh]	Where do you live? (informal)
Я живу в Санкт-Петербурге [ya zheevoo vy Sant-Peterboorg]	I live in St Petersburg
Одиннадцать [adeenatset]	Eleven
Двенадцать [dvanatset]	Twelve
Тринадцать [treenatset]	Thirteen
Четырнадцать [chetyrenatset]	Fourteen
Пятнадцать [pyatnatset]	Fifteen
Шестнадцать [shyestnatset]	Sixteen
