A a	а [apple]
Б б	b [box]
В в	v [van]
Г г	g [get]
Д д	d [dog]
Е е	ye [yet]
Ё ё	yo [yonder]
Ж ж	s [pleasure]
З з	z [zoo]
И и	ee [feet]
Й й	y [boy]
К к	k [kit]
Л л	l [love]
М м	m [may]
Н н	n [not]
О о	aw [bore] if stressed, a [apple] if unstressed 
П п	p [pot]
Р р	r [rot with rolled r]
С с	s [set]
У у	oo [moon]
Ф ф	f [fit]
Х х	kh [loch]
Ц ц	ts [bits]
Ч ч	ch [choke]
Ш ш	sh [sharp]
Щ щ	shch [pushchair]
Ъ	Hard sign (silent, keeps the consonant before it hard)
Ы ы	y [ill]
Ь	Soft sign [silent, softens preceding consonant, sounds like adding a -y as in canyon to it, and when between a consonant and a soft vowel it separates the two so they are pronounced separately]
Э э	e [met]
Ю ю	u [yule]
Я я	ya [yap]
Т т	t [to]
