Здравствуйтуе	Hello (formal)
Здравствуй	Hello (informal)
До свидания	Goodbye
Как у вас дела	How are you? (formal)
Спасибо хорошо	Thank you, fine
Как у вас	How are you? (informal)
как тебя зовут	What do they call you? (informal)
Меня зовут	I am called...
Как вас зовут	What do they call you?
Очень рад	Pleased to meet you (male speaker)
Очень рада	Pleased to meet you (female speaker)
Простите	Pardon/Excuse me/Sorry?
А как у тебя	And how are you (informal)
Вы...	You... (formal)
ТЫ...	You...  (informal)
Англичанин	English (male)
Англичанка	English (female)
Да, я...	Yes, I am...
Нет, я не...	No, I am not...
Студенты	Students
Они женаты	They are married (male plural or formal)
Женат	Married (male informal)
Замужем	Married (female)
Ноль	Zero
Один	One
Два	Two
Три	Three
Четыре	Four
Это Анна	This is Anna
Это мои друг	This is my friend (male)
Это моя подруга	This is my friend (female)
Это мои муж	This is my husband
Это моя жена	This is my wife
У вас есть дети	Do you have children?
Да, у меня есть...	Yes, I have...
Сын	Son
Дочь	Daughter
И	And
Как его/её зовут	What is he/she called?
Его / Её зовут	He / She is called...
Это...?	Is this...?
Ваш/твои брат	Your brother (formal/informal)
Ваша/твоя сестра	Your sister (formal/informal)
Пять	Five
Шесть	Six
Семь	Seven
Восемь	Eight
Девять	Nine
Десять	Ten
Бар (bar)	Bar
Кафе (cafe)	Cafe
Бармен (barman)	Barman
Киоск (kiosk)	Kiosk
Что вам угодно (shto vam oogodna)	What would you like?
Чаи пожалуйста (chay pazhalsta)	Tea, please
Кофе пожалуйста (kofye pazhalsta)	Coffee, please
Хорошо (kharasho)	Fine
Спасибо (spaseeba)	Thank you
Вода (vada)	Water
Вино (veeno)	Wine
Пиво (peeva)	Beer
Лимонад (leemonad)	Lemonade
С сахаром (s sakharom)	With sugar
Без сахара (byez sakhara)	Without sugar
Сахар (sakhar)	Sugar
С молоком (s malakom)	With milk
Без молока (byez malaka)	Without milk
Что вы хотите (shto vy khateetye)	What would you like? (formal)
Что ты хочешь (shto ty khochyesh)	What would you like? (informal)
Да пожалуйста (da pazhalsta)	Yes, please
Нет спасибо (nyet spaseeba)	No, thank you
Я знаю (ya znayoo)	I know
Журнал (zhoornal)	Magazine
Гостиница (gasteeneesta)	Hotel
Доброе утро (dobraye ootra)	Good morning
