Hello (formal)	Здравствуйтуе [zdrastvooytye]
Hello (informal)	Здравствуй [zdrastvooy]
Goodbye	До свидания [da sveedaneeya]
How are you? (formal)	Как у вас дела [kak oo vas dyela]
Thank you, fine	Спасибо хорошо [spaseeba kharasho]
And how are you? (formal)	А как у вас [a kak oo vas]
What do they call you? (informal)	как тебя зовут [kak tebya zavoot]
I am called...	Меня зовут [menya zavoot...]
What do they call you?	Как вас зовут [kak vas zavoot]
Pleased to meet you (male speaker)	Очень рад [ochen rad]
Pleased to meet you (female speaker)	Очень рада [ochen rada]
Pardon/Excuse me/Sorry?	Простите [prasteetye]
And how are you (informal)	А как у тебя [a kak oo tebya]
You... (formal)	Вы... [vy]
You...  (informal)	ТЫ... [ty]
English (male)	Англичанин [angleechaneen]
English (female)	Англичанка [angleechanka]
Yes, I am...	Да, я... [da, ya]
No, I am not...	Нет, я не... [nyet, ya nye]
Students	Студенты [stoodyenty]
They are married (male plural or formal)	Они женаты [anee zhenaty]
Married (male informal)	Женат [zhenat]
Married (female)	Замужем [zamoozhem]
Zero	Ноль [nol]
One	Один [adeen]
Two	Два [dva]
Three	Три [tree]
Four	Четыре [chetyre]
This is Anna	Это Анна [eta anna] 
This is my friend (male) 	Это мои друг [eta moy droog] 
This is my friend (female)	Это моя подруга [eta maya padrooga] 
This is my husband	Это мои муж [eta moy moozh] 
This is my wife	Это моя жена [eta maya zhena] 
Do you have children?	У вас есть дети [oo vas yest dyetee] 
Yes, I have... 	Да, у меня есть... [da, oo menya yest] 
Son	Сын [syn] 
Daughter	Дочь [doch] 
And	И [ee] 
What is he/she called? 	Как его/её зовут [kak yevo/yeyo zavoot] 
He / She is called... 	Его / Её зовут [yevo / yeyo zavoot]
Is this... 	Это [eta] 
Your brother (formal/informal) 	Ваш/твои брат [vash/tvoy brat] 
Your sister (formal/informal) 	Ваша/твоя сестра [vasha/tvaya sestra] 
Five	Пять [pyat] 
Six	Шесть [shyest] 
Seven 	Семь [syem] 
Eight 	Восемь [vosem] 
Nine	Девять [dyevat] 
Ten	Десять [dyesat] 
